normal,lazy,noised,random,server,echo,small,round
30,5,0,5,0,5,5,1
30,5,0,5,0,5,5,2
33,5,0,0,0,5,7,3
34,5,0,1,0,5,5,4
35,5,0,0,0,5,5,5
35,5,0,0,0,5,5,6
35,5,0,0,0,5,5,7
43,3,0,0,0,1,3,8
47,0,0,1,0,0,2,9
48,0,0,0,0,0,2,10
48,0,0,0,0,0,2,11
48,0,0,0,0,0,2,12
48,0,0,0,0,0,2,13
48,0,0,0,0,0,2,14
48,0,0,0,0,0,2,15
48,0,0,0,0,0,2,16
48,0,0,0,0,0,2,17
48,0,0,0,0,0,2,18
48,0,0,0,0,0,2,19
48,0,0,0,0,0,2,20
48,0,0,0,0,0,2,21
48,0,0,0,0,0,2,22
48,0,0,0,0,0,2,23
48,0,0,0,0,0,2,24
48,0,0,0,0,0,2,25
48,0,0,0,0,0,2,26
48,0,0,0,0,0,2,27
48,0,0,0,0,0,2,28
48,0,0,0,0,0,2,29
48,0,0,0,0,0,2,30
