round,client_id,predicted,actual
3,39,consecutive,random
3,38,consecutive,random
3,36,consecutive,random
3,35,consecutive,random
3,37,consecutive,random
4,36,consecutive,small
4,37,consecutive,small
5,36,consecutive,random
8,32,consecutive,lazy
8,41,consecutive,echo
8,46,consecutive,small
8,34,consecutive,lazy
8,43,consecutive,echo
8,44,consecutive,echo
8,31,consecutive,lazy
8,30,consecutive,lazy
8,47,consecutive,small
8,40,consecutive,echo
8,49,consecutive,small
8,33,consecutive,lazy
8,45,consecutive,small
8,42,consecutive,echo
9,46,consecutive,small
9,34,consecutive,lazy
9,33,consecutive,lazy
9,47,consecutive,small
9,32,consecutive,echo
9,31,consecutive,lazy
10,46,consecutive,random
