round,accuracy,client_type,malicious_ratio
1,0.19770000000000001,random_1,1
2,0.2799,random_1,1
3,0.31179999999999997,random_1,1
4,0.3454,random_1,1
5,0.3427,random_1,1
6,0.3852,random_1,1
7,0.4164,random_1,1
8,0.4001,random_1,1
9,0.42539999999999994,random_1,1
10,0.40590000000000004,random_1,1
11,0.4286,random_1,1
12,0.4457,random_1,1
13,0.437,random_1,1
14,0.4215,random_1,1
15,0.4445,random_1,1
16,0.4383,random_1,1
17,0.4407,random_1,1
18,0.4265,random_1,1
19,0.4516,random_1,1
20,0.4178,random_1,1
21,0.44800000000000006,random_1,1
22,0.46319999999999995,random_1,1
23,0.434,random_1,1
24,0.47590000000000005,random_1,1
25,0.45810000000000006,random_1,1
26,0.46040000000000003,random_1,1
27,0.4164,random_1,1
28,0.45780000000000004,random_1,1
29,0.4544,random_1,1
30,0.4431,random_1,1
1,0.12890000000000001,random_2,2
2,0.159,random_2,2
3,0.18519999999999998,random_2,2
4,0.21400000000000002,random_2,2
5,0.1837,random_2,2
6,0.1605,random_2,2
7,0.194,random_2,2
8,0.2424,random_2,2
9,0.2432,random_2,2
10,0.1885,random_2,2
11,0.2447,random_2,2
12,0.2519,random_2,2
13,0.2226,random_2,2
14,0.1747,random_2,2
15,0.20600000000000002,random_2,2
16,0.2136,random_2,2
17,0.2404,random_2,2
18,0.2169,random_2,2
19,0.25529999999999997,random_2,2
20,0.2561,random_2,2
21,0.2252,random_2,2
22,0.209,random_2,2
23,0.23079999999999998,random_2,2
24,0.2173,random_2,2
25,0.219,random_2,2
26,0.1692,random_2,2
27,0.17309999999999998,random_2,2
28,0.2015,random_2,2
29,0.1619,random_2,2
30,0.20339999999999997,random_2,2
1,0.1153,random_3,3
2,0.0982,random_3,3
3,0.0932,random_3,3
4,0.10129999999999999,random_3,3
5,0.1106,random_3,3
6,0.1246,random_3,3
7,0.11639999999999999,random_3,3
8,0.1244,random_3,3
9,0.11679999999999999,random_3,3
10,0.1212,random_3,3
11,0.1369,random_3,3
12,0.1189,random_3,3
13,0.1479,random_3,3
14,0.13040000000000002,random_3,3
15,0.11710000000000001,random_3,3
16,0.1162,random_3,3
17,0.153,random_3,3
18,0.1383,random_3,3
19,0.1335,random_3,3
20,0.1223,random_3,3
21,0.1271,random_3,3
22,0.1,random_3,3
23,0.122,random_3,3
24,0.1234,random_3,3
25,0.1156,random_3,3
26,0.1492,random_3,3
27,0.11579999999999999,random_3,3
28,0.1639,random_3,3
29,0.1133,random_3,3
30,0.10300000000000001,random_3,3
1,0.1265,random_4,4
2,0.1031,random_4,4
3,0.1139,random_4,4
4,0.1109,random_4,4
5,0.08940000000000001,random_4,4
6,0.0999,random_4,4
7,0.10189999999999999,random_4,4
8,0.0922,random_4,4
9,0.1147,random_4,4
10,0.10429999999999999,random_4,4
11,0.1136,random_4,4
12,0.10400000000000001,random_4,4
13,0.1099,random_4,4
14,0.1179,random_4,4
15,0.1226,random_4,4
16,0.1012,random_4,4
17,0.10740000000000001,random_4,4
18,0.1377,random_4,4
19,0.10769999999999999,random_4,4
20,0.1212,random_4,4
21,0.10600000000000001,random_4,4
22,0.1173,random_4,4
23,0.1117,random_4,4
24,0.11040000000000001,random_4,4
25,0.0924,random_4,4
26,0.1193,random_4,4
27,0.1046,random_4,4
28,0.1075,random_4,4
29,0.10200000000000001,random_4,4
30,0.13640000000000002,random_4,4
1,0.5655,lazy_1,1
2,0.626,lazy_1,1
3,0.6456999999999999,lazy_1,1
4,0.6579,lazy_1,1
5,0.6672,lazy_1,1
6,0.6697,lazy_1,1
7,0.6707000000000001,lazy_1,1
8,0.6733,lazy_1,1
9,0.6752,lazy_1,1
10,0.6738000000000001,lazy_1,1
11,0.6758,lazy_1,1
12,0.6745,lazy_1,1
13,0.6743,lazy_1,1
14,0.6736000000000001,lazy_1,1
15,0.6708000000000001,lazy_1,1
16,0.6712,lazy_1,1
17,0.6667,lazy_1,1
18,0.6698999999999999,lazy_1,1
19,0.666,lazy_1,1
20,0.6649,lazy_1,1
21,0.6612,lazy_1,1
22,0.6601,lazy_1,1
23,0.6589,lazy_1,1
24,0.662,lazy_1,1
25,0.6624000000000001,lazy_1,1
26,0.663,lazy_1,1
27,0.6595000000000001,lazy_1,1
28,0.6614,lazy_1,1
29,0.6612,lazy_1,1
30,0.6617,lazy_1,1
1,0.5512,lazy_2,2
2,0.6288,lazy_2,2
3,0.65,lazy_2,2
4,0.6578,lazy_2,2
5,0.6611,lazy_2,2
6,0.6642,lazy_2,2
7,0.6673,lazy_2,2
8,0.6688000000000001,lazy_2,2
9,0.6723,lazy_2,2
10,0.671,lazy_2,2
11,0.6715,lazy_2,2
12,0.6698999999999999,lazy_2,2
13,0.6684,lazy_2,2
14,0.6676,lazy_2,2
15,0.6674,lazy_2,2
16,0.6668000000000001,lazy_2,2
17,0.6645000000000001,lazy_2,2
18,0.66,lazy_2,2
19,0.6607000000000001,lazy_2,2
20,0.6597999999999999,lazy_2,2
21,0.6601,lazy_2,2
22,0.6568,lazy_2,2
23,0.6586000000000001,lazy_2,2
24,0.656,lazy_2,2
25,0.6576000000000001,lazy_2,2
26,0.656,lazy_2,2
27,0.6536000000000001,lazy_2,2
28,0.653,lazy_2,2
29,0.6505,lazy_2,2
30,0.6512,lazy_2,2
1,0.5457000000000001,lazy_3,3
2,0.6367,lazy_3,3
3,0.6526,lazy_3,3
4,0.6611,lazy_3,3
5,0.6714,lazy_3,3
6,0.6744,lazy_3,3
7,0.675,lazy_3,3
8,0.6795,lazy_3,3
9,0.6811,lazy_3,3
10,0.6794,lazy_3,3
11,0.6755,lazy_3,3
12,0.6761,lazy_3,3
13,0.6736000000000001,lazy_3,3
14,0.6718,lazy_3,3
15,0.6713,lazy_3,3
16,0.6705,lazy_3,3
17,0.6706000000000001,lazy_3,3
18,0.667,lazy_3,3
19,0.6687000000000001,lazy_3,3
20,0.6698000000000001,lazy_3,3
21,0.6675000000000001,lazy_3,3
22,0.6674,lazy_3,3
23,0.6672,lazy_3,3
24,0.6658999999999999,lazy_3,3
25,0.6654,lazy_3,3
26,0.666,lazy_3,3
27,0.6676,lazy_3,3
28,0.6653,lazy_3,3
29,0.6668000000000001,lazy_3,3
30,0.6662,lazy_3,3
1,0.5012000000000001,lazy_4,4
2,0.6093,lazy_4,4
3,0.6416999999999999,lazy_4,4
4,0.6507000000000001,lazy_4,4
5,0.655,lazy_4,4
6,0.6559,lazy_4,4
7,0.6582000000000001,lazy_4,4
8,0.6588,lazy_4,4
9,0.6639,lazy_4,4
10,0.6649,lazy_4,4
11,0.6627000000000001,lazy_4,4
12,0.6617,lazy_4,4
13,0.6618,lazy_4,4
14,0.662,lazy_4,4
15,0.6614000000000001,lazy_4,4
16,0.6573,lazy_4,4
17,0.6575,lazy_4,4
