Round,F1_SVM,F1_IForest,F1_KMeans,F1_Meta,Accuracy_Meta
10_10,0.3894165535956581,0.5555555555555556,0.45193304695600656,1.0,1.0
10_20,0.3395898505387556,0.6153846153846154,0.5869090909090909,0.9356499356499357,0.94
10_30,0.3221131369798972,0.575091575091575,0.4755244755244755,0.9244957394024377,0.93
10_10,0.3894165535956581,0.6043956043956044,0.375,1.0,1.0
10_20,0.3395898505387556,0.6043956043956044,0.48697568553777226,0.9947806571152692,0.995
10_30,0.3221131369798972,0.5157318741450069,0.375,0.7475658131987017,0.79
10_10,0.3894165535956581,0.6043956043956044,0.375,1.0,1.0
10_20,0.3395898505387556,0.5703301673450927,0.4982078853046595,0.9521263863400622,0.955
10_30,0.3221131369798972,0.6054135781981782,0.5419465881961023,0.8861953768401474,0.8966666666666666
10_5,0.47916666666666663,0.5703301673450927,0.375,1.0,1.0
10_10,0.3894165535956581,0.5906626839252129,0.5810244627652386,1.0,1.0
10_15,0.35661764705882354,0.5453595317725752,0.4273658830620856,0.8978797899241393,0.9066666666666666
10_20,0.3395898505387556,0.5877896613190731,0.4755244755244755,0.9736668861092824,0.975
10_25,0.36993206223975456,0.6351648351648351,0.5810835970955129,0.9916382366713492,0.992
10_30,0.3221131369798972,0.5725,0.5128564897289969,0.8822605965463108,0.8933333333333333
10_10,0.3894165535956581,0.6263736263736264,0.5810244627652386,0.9895386546709908,0.99
10_20,0.3395898505387556,0.5807127882599581,0.5703301673450927,0.8959445767956407,0.905
10_30,0.3221131369798972,0.5925060267502049,0.4755244755244755,0.8171753593012037,0.84
