Round,F1_SVM,F1_IForest,F1_KMeans,F1_Meta,Accuracy_Meta
10_10,46.0,0.5404411764705883,0.541093032957864,1.0,1.0
10_20,43.0,0.5824175824175825,0.5673930589184827,0.9575551782682512,0.96
10_30,42.0,0.5731946624803768,0.4677647748172985,0.829059829059829,0.85
10_10,46.0,0.5703301673450927,0.375,1.0,1.0
10_20,43.0,0.5989304812834224,0.375,0.9356499356499357,0.94
10_30,46.0,0.5989304812834224,0.5547122461783294,0.9754417560313877,0.9766666666666667
10_10,46.0,0.5989304812834224,0.5614035087719298,1.0,1.0
10_20,43.0,0.5636277862955537,0.45193304695600656,0.829059829059829,0.85
10_30,42.0,0.5824175824175825,0.45193304695600656,0.8827838827838828,0.8933333333333333
10_10,46.0,0.612789025334661,0.541093032957864,1.0,1.0
10_20,43.0,0.5918937805730258,0.5741893219783819,0.8959445767956407,0.905
10_30,42.0,0.6190476190476191,0.375,0.9055735799719142,0.9133333333333333
10_10,46.0,0.5824175824175825,0.541093032957864,1.0,1.0
10_20,43.0,0.5792426367461431,0.375,0.8740381719105124,0.885
10_30,42.0,0.5942474966187291,0.4677647748172985,0.8703303488731089,0.8833333333333333
10_5,52.0,0.5989304812834224,0.6361746361746362,0.9789827658680117,0.98
10_10,46.0,0.6263736263736264,0.541093032957864,1.0,1.0
10_15,44.0,0.5895318175033584,0.5479426779014699,0.9213499213499213,0.9266666666666666
10_20,43.0,0.5789473684210527,0.4755244755244755,0.872332158419139,0.885
10_25,42.4,0.5989304812834224,0.4755244755244755,0.8622442631401197,0.876
10_30,42.0,0.6218749617591992,0.4755244755244755,0.9356499356499357,0.94
