round,client_id,predicted,actual
3,0,lazy,normal
3,9,lazy,normal
3,1,lazy,normal
3,4,lazy,normal
3,7,lazy,echo
3,6,lazy,random
3,2,lazy,normal
3,3,lazy,normal
3,8,lazy,small
3,5,lazy,lazy
4,4,lazy,normal
4,1,lazy,random
4,8,lazy,normal
4,6,lazy,small
4,7,lazy,echo
4,2,lazy,normal
4,5,lazy,normal
4,3,lazy,random
4,9,lazy,normal
4,0,lazy,small
5,9,lazy,normal
5,2,lazy,small
5,3,lazy,echo
5,8,lazy,random
5,6,lazy,normal
5,0,lazy,echo
5,5,lazy,normal
5,4,lazy,random
5,1,lazy,echo
5,7,lazy,normal
6,8,lazy,normal
6,2,lazy,normal
6,0,lazy,echo
6,5,lazy,lazy
6,3,lazy,normal
6,4,lazy,normal
6,7,lazy,echo
6,9,lazy,normal
6,1,lazy,normal
6,6,lazy,normal
7,3,lazy,random
7,7,lazy,echo
7,0,lazy,normal
7,1,lazy,normal
7,5,lazy,normal
7,2,lazy,echo
7,8,lazy,normal
7,9,lazy,normal
7,4,lazy,small
7,6,lazy,normal
8,8,lazy,normal
8,7,lazy,small
8,4,lazy,normal
8,0,lazy,normal
8,9,lazy,random
8,5,lazy,normal
8,6,lazy,random
8,2,lazy,small
8,3,lazy,echo
8,1,lazy,normal
9,8,lazy,echo
9,6,lazy,normal
9,5,lazy,normal
9,9,lazy,echo
9,2,lazy,normal
9,1,lazy,normal
9,3,lazy,echo
9,7,lazy,random
9,0,lazy,normal
9,4,lazy,normal
10,4,lazy,lazy
10,7,lazy,small
10,6,lazy,random
10,1,lazy,echo
10,5,lazy,normal
10,9,lazy,normal
10,2,lazy,echo
10,3,lazy,normal
10,8,lazy,echo
10,0,lazy,echo
11,9,lazy,lazy
11,1,lazy,echo
11,4,lazy,random
11,7,lazy,random
11,6,lazy,random
11,3,lazy,small
11,0,lazy,random
11,5,lazy,small
11,2,lazy,small
11,8,lazy,normal
12,7,lazy,random
12,8,lazy,random
12,3,lazy,echo
12,6,lazy,lazy
12,4,lazy,lazy
12,9,lazy,lazy
12,5,lazy,small
12,2,lazy,random
12,0,lazy,echo
12,1,lazy,lazy
13,3,lazy,normal
13,5,lazy,lazy
13,8,lazy,small
13,6,lazy,small
13,1,lazy,lazy
13,0,lazy,echo
13,7,lazy,echo
13,2,lazy,random
13,4,lazy,normal
13,9,lazy,echo
14,1,lazy,small
14,5,lazy,small
14,7,lazy,random
14,2,lazy,normal
14,4,lazy,lazy
14,9,lazy,normal
14,6,lazy,normal
14,8,lazy,random
14,0,lazy,small
14,3,lazy,small
15,5,lazy,random
15,0,lazy,echo
15,2,lazy,random
15,9,lazy,echo
15,1,lazy,lazy
15,6,lazy,lazy
15,8,lazy,lazy
15,3,lazy,small
15,7,lazy,random
15,4,lazy,lazy
16,6,lazy,random
16,5,lazy,random
16,4,lazy,normal
16,9,lazy,random
16,1,lazy,small
16,0,lazy,echo
16,2,lazy,normal
16,7,lazy,echo
16,8,lazy,lazy
16,3,lazy,random
17,6,lazy,small
17,2,lazy,small
17,0,lazy,lazy
17,8,lazy,lazy
17,3,lazy,echo
17,5,lazy,echo
17,4,lazy,lazy
17,1,lazy,small
17,7,lazy,small
17,9,lazy,echo
18,0,lazy,echo
18,1,lazy,lazy
18,9,lazy,small
18,5,lazy,random
18,8,lazy,small
18,2,lazy,normal
18,3,lazy,lazy
18,4,lazy,normal
18,7,lazy,lazy
18,6,lazy,echo
19,6,lazy,normal
19,5,lazy,normal
19,4,lazy,echo
19,8,lazy,lazy
19,3,lazy,random
19,7,lazy,lazy
19,2,lazy,normal
19,0,lazy,normal
19,9,lazy,echo
19,1,lazy,small
20,7,lazy,lazy
20,8,lazy,lazy
20,0,lazy,echo
20,1,lazy,lazy
20,2,lazy,echo
20,6,lazy,echo
20,4,lazy,random
20,5,lazy,normal
20,3,lazy,small
20,9,lazy,echo
21,3,lazy,normal
21,8,lazy,echo
21,7,lazy,normal
21,1,lazy,normal
21,4,lazy,small
21,2,lazy,random
21,0,lazy,echo
21,6,lazy,echo
21,9,lazy,normal
21,5,lazy,small
22,2,lazy,random
22,0,lazy,random
22,8,lazy,echo
22,4,lazy,small
22,6,lazy,small
22,9,lazy,normal
22,3,lazy,small
22,7,lazy,random
22,1,lazy,lazy
22,5,lazy,lazy
23,1,lazy,echo
23,0,lazy,random
23,6,lazy,lazy
23,7,lazy,lazy
23,3,lazy,echo
23,9,lazy,small
23,5,lazy,echo
23,2,lazy,small
23,8,lazy,lazy
23,4,lazy,echo
24,2,lazy,small
24,1,lazy,normal
24,3,lazy,random
24,7,lazy,normal
24,6,lazy,random
24,8,lazy,normal
24,0,lazy,small
24,4,lazy,normal
24,5,lazy,normal
24,9,lazy,normal
25,3,lazy,random
25,4,lazy,small
25,7,lazy,random
25,2,lazy,random
25,0,lazy,echo
25,5,lazy,lazy
25,8,lazy,small
25,1,lazy,lazy
25,9,lazy,random
25,6,lazy,small
26,9,lazy,normal
26,4,lazy,random
26,3,lazy,small
26,8,lazy,random
26,5,lazy,normal
26,2,lazy,echo
26,7,lazy,normal
26,0,lazy,small
26,1,lazy,random
26,6,lazy,normal
27,8,lazy,random
27,2,lazy,lazy
27,6,lazy,random
27,7,lazy,lazy
27,0,lazy,random
27,9,lazy,lazy
27,1,lazy,random
27,4,lazy,echo
27,3,lazy,echo
27,5,lazy,normal
28,2,lazy,random
28,3,lazy,small
28,4,lazy,lazy
28,1,lazy,normal
28,5,lazy,random
28,9,lazy,lazy
28,8,lazy,echo
28,7,lazy,normal
28,0,lazy,normal
28,6,lazy,small
29,2,lazy,echo
29,4,lazy,small
29,8,lazy,small
29,6,lazy,echo
29,5,lazy,lazy
29,1,lazy,lazy
29,7,lazy,echo
29,3,lazy,lazy
29,9,lazy,normal
29,0,lazy,echo
30,2,lazy,echo
30,5,lazy,small
30,6,lazy,echo
30,1,lazy,small
30,7,lazy,random
30,8,lazy,lazy
30,3,lazy,random
30,4,lazy,normal
30,9,lazy,small
30,0,lazy,random
